number,summary,milestone,assigned_to_name,assigned_to_id,status
159,Fix size of Flex Application,Release 1.0,,,Fixed
978,Guest voucher consumed on failed upload,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1055,Scrollbars in Voucher deletion dialogue box,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1212,Option to force legacy mode,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
120,Reload button for admin,Release 1.0,,,Fixed
977,Add check for 64-bit PHP installation,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1054,Update end-user documentation on filesender.org website,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Invalid
1211,Implement logging for lang_selector_enabled = true with lang_url_enabled = false,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Test
105,Config file - error on start-up,Release 1.0,,,Fixed
976,'You are logged in as' status bar message,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1053,Update workflow diagram,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Invalid
1209,Bug: problem with XSRF token in longer legacy uploads,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Fixed
1210,"If only 1 language available in language stack, don't allow selecting of language",Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
103,Move version number to flex application,Release 1.0,,,Fixed
975,New icons for files.php,Archived: Release 2.0 prototype,,,Invalid
1048,Help dialogue opens half way down the text,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
102,log browser and os and gears status,Release 1.0,,,Fixed
974,Multi upload page height,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1041,1.6 end-user documentation,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1208,Implement different language tag in drag&drop field for legacy uploads,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1032,1.6 workflow diagram,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
894,Update upgrade notes 1.5-1-6,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1029,1.6 features pages,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1030,1.6 Known Issues page,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1031,1.6 Requirements page,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1033,1.6 Debian ubuntu installation page,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1034,1.6 RPM installation page,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1035,1.6 FAQ,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1036,1.6 Mail bounce handling,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1037,1.6 configuring SRS with Exim ,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1038,1.6 Setting up usage statistics,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1039,Documentation v1-6 overview page,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1040,Acknowledgements 1.6 page,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1104,Update Linux source install page to 1.6,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
88,Allow line breaks in description entry,Release 1.0,,,Fixed
973,Relocate email templates to separate language files,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1028,Upgrade documentation from 1.5 to 1.6,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1207,Create SPF-compliant best practice configuration for FileSender,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Invalid
85,Absolute references for file downloads,Release 1.0,,,Invalid
868,Minimum Include to reduce DB calls in fs_upload,Release 1.5,,,Fixed
972,Consistent transaction information on download pages,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1023,AUP reset after logout,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1206,Simplify autocomplete configuration parameters,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,In Progress
83,Add About,Release 1.0,,,Fixed
781,1.5 cleanup: Combine error dialogues,Release 1.5,,,Won't fix
971,Add tracking code to multi download page,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
999,Error message required when HTML5/Terasender upload javascript can no longer read file,Release 1.6,,,Known issue
1205,Documentation 2.0: how to configure bounce handling,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Invalid
82,Remove logo and title to allow individual branding,Release 1.0,,,Fixed
968,Browser back button page load behaviours,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1169,Crypto: 'send' button doesn't work when upgrading to crypto version,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
1243,"Download email generated even if user clicks on ""Cancel"" rather than ""Save File""",Release 1.5,,,Known issue
45,Storage space monitor,Release 1.0,,,Fixed
987,layout consistency check,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
998,PHP Unit Tests,Release 1.5,,,Won't fix
1148,Crypto: check and remove unused files,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
1203,Update help text,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Test
44,IP name resolving,Release 1.0,,,Fixed
483,UI config settings,Release 1.5,,,Fixed
962,Update vouchers.php layout,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1147,Crypto: update sjcl library,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,QTest
1202,Email formatting sometimes broken: raw email formatting displayed rather than pretty formatted,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
43,Add language files,Release 1.0,,,Fixed
961,"Add ""Show/Hide"" label to AuP checkbox",Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
985,"quick fix for ""no Cc: to downloader"" email",Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1201,Bug: no code to expire user preferences,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Test
41,distro tarball should be both zip and .tar.gz,Release 1.0,,,Fixed
481,"Make ""New Upload"" screen consistent between Flash and HTML5 variants",Release 1.5,,,Fixed
960,Make favicon customisable,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
982,Add Romanian language,Release 1.6,,,Known issue
1140,Crypto: download of encrypted file hangs when there is no .metadata file on the server ,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,In Progress
1200,"Bug: broken logic when uploading choosing ""get link instead of sending to recipients""",Release 2.0-alpha,,,Won't fix
1199,Document session_cookie_path configuration directive,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
40,log timestamp - all logging as full timestamp,Release 1.0,,,Fixed
480,New and upgrade-proof configuration of database parameters,Release 1.5,,,Fixed
958,Move status/error messages into status bar on new buttons tab,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
981,Add Finnish language,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1198,Logon problem with SimpleSAMLphp in different URL space (session.cookie.path),Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Test
1144,Crypto: include max configured filesize in warning/error,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
1146,Crypto: use crypto_ prefix for all crypto related configurables ,end-to-end file encryption,Mark Dopey,dno-zMULOr44oJacwqjQXA,Fixed
36,Postgress date format in config file,Release 1.0,,,Fixed
957,Create new design for 'To:' field in my files,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1139,Crypto: Configurable maximum size of file that is accepted when encryption is used,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
1197,"Bug: translation failure with downloads from ""link only"" transfers",Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
35,Correct Version relase to 0.1.5,Release 1.0,,,Fixed
474,Text parts to be translated,Release 1.5,,,Fixed
956,Button sizes on multi-upload page,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
969,No wrapping in Guest Voucher table,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1135,PHP Deprecated:  Function split() is deprecated in classes/FileMetadata.php,end-to-end file encryption,,,Fixed
1196,Feedback: make Recipient email address in transfer view clickable,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
33,Temporary File Storage,Release 1.0,,,Invalid
471,Walkthrough of config.php settings,Release 1.5,,,Fixed
955,Validate all form fields on send button press,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
966,Move Delete icon to left in Voucher table,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1134,Crypto: _UPLOAD_COMPLETE is wrong when using a voucher,end-to-end file encryption,,,Fixed
1195,Feedback: language switch in translated email page hard to find,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
32,File storage out of web directories,Release 1.0,,,Fixed
428,Merge experimental mail bounce handling into 1.5,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
954,Add menu bar from old multiupload branch,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
965,Remove uneccessary border around browse button on upload,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1133,Crypto: clear previously entered passphrase after download,end-to-end file encryption,,,Fixed
1194,Feedback: subject does not change when optional subject used,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
30,Log file upload attempts,Release 1.0,,,Fixed
417,Centre application on screen,Release 1.5,,,Fixed
953,Load Flash and HTML5 upload pages on demand,Archived: Release 2.0 prototype,,,Test
964,My Files message formatting inconsistent,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1132,Crypto: localisation of errors,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Deferred
29,File resume,Release 1.0,,,Fixed
408,Admin display into multiple pages,Release 1.5,,,Fixed
952,Custom Config and Language for JS,Archived: Release 2.0 prototype,,,Invalid
963,Allow for optional subject in a guest use voucher,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1131,Crypto: consolidate HELP text,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,QTest
1192,Smoothning: OSX un-archiving software in download page should be conditional on download file size.,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
28,Auto notify gears installed,Release 1.0,,,Fixed
404,Automatic switching for multiple languages ,Release 1.5,,,Fixed
959,update admin guide: how to change favicon.ico,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1130,Crypto: re-assess default suggested password,end-to-end file encryption,,,New
1191,"Smoothening: fix inconsistent use of file size units.  Mo, Mb, MB.",Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
27,Gears integration,Release 1.0,,,Fixed
403,Replace all postgres specific code,Release 1.5,,,Fixed
949,Auto-Fill to only add one user email at a time,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
950,Redirect users based on browsers capabilities,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1190,Bug: can not configure multiple admins with the admin config directive,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
6,File Sender Database,Release 1.0,,,Fixed
402,Add MYSQL setup script,Release 1.5,,,Fixed
637,Allow for optional personal message in a guest use voucher [M],Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
925,Clear file selection on upload page,Archived: Release 2.0 prototype,,,Fixed
5,File Sender Config Information,Release 1.0,,,Fixed
401,Create a database abstraction layer,Release 1.5,,,Fixed
720,Add/Update Hungarian translation,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
948,Reduce repeated code throughout single/multi-files and vouchers pages,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1121,Crypto:  enable use of 'enter' in password dialogs,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1188,Security bug: REST API error message leaks sensitive data,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
4,Mail Sender - PHP,Release 1.0,,,Fixed
679,Shred files to completey remove them when deleted ,Release 1.5,,,Fixed
706,Add/Update Croatian language,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
947,Replace deprecated 'escape()' call in function keepMeAlive(),Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1120,Crypto: Safari support (currently disabled),end-to-end file encryption,,,New
1187,Decide on dropping or keeping config defaults,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
3,Simple SAML,Release 1.0,,,Fixed
946,Redesign file validation for multi-file uploads,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1022,IE 10 Compatibility mode script error,Release 1.5,,,New
1119,Crypto: fix or disable 'esc'/[x] dialog actions for password dialogs (up/down),end-to-end file encryption,,,Fixed
1185,Bug: database initialisation script broken for Postgres: autoincrement columns not correctly created,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1186,Consolidate upload_chunk_size and terasender_chunk_size to one variable,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
2,Voucher System,Release 1.0,,,Fixed
900,document migration postgresql -> mysql as per arnes docs,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
945,Re-factoring duplicate code into common.js,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1117,Crypto: _UPLOAD_ENCRYPT_PROGRESS_MESSAGE used for non encrypted uploads,end-to-end file encryption,,,Fixed
1,Flex Client Interface GUI,Release 1.0,,,Fixed
774,Make voucher subject configurable,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
944,Create consistancy between progress bars,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1116,Crypto: 'Click here to save your file' not localised,end-to-end file encryption,,,Fixed
1184,Feature request: multi-language emails,Release 2.0-alpha,,,Fixed
182,Change sort order of items in tables in administrative interface,Release 1.0,,,Fixed
896,Rendering issue in Chrome ,Release 1.5,,,Fixed
931,Translations for new language items,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
943,Update !DOCTYPE declaration,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1183,"Feature: login session expired, re-logon?",Release 2.0-alpha,,,Fixed
158,My Files - new Fields,Release 1.0,,,Fixed
930,Add Japanese language,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
942,Remove HTML5 image,Archived: Release 2.0 prototype,,,Fixed
1114,Crypto: w3c validation,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Accepted
1115,Crypto: review of new/changed language tags,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,In Progress
157,available space depleted warning,Release 1.0,,,Fixed
941,Remove #dialog-support,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1113,Crypto: default on/off configurable,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1181,Security: check for possible attack using template code in file names,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
155,remove deprecated config file directives from default config file,Release 1.0,,,Fixed
1112,Crypto: enable/disable crypto configurable,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1180,Security audit: 2.14.5: Usage of PHP weak comparison,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
153,more control for voucher issuer,Release 1.0,,,Fixed
887,Filename with ' not accepted in non HTML5 browser,Release 1.5,,,Invalid
939,Implement auto completion in multiupload.php,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1111,Crypto: download/save of filename with ISO-8859-1 characters broken?,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1179,Security audit 1: 2.14.4: Usage of variable variables,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Won't fix
152,include voucher issuer on recipient list of file ,Release 1.0,,,Fixed
906,The customCSS option - extra check for empy,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
938,Change multidownload.php button text,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1109,Crypto: metadata errors in logging,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
1110,Crypto: 'wrong key' popup empty after second wrong attempt,end-to-end file encryption,,,Fixed
1178,Security audit 1: 2.14.3: Template injection,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
151,re-send a file without re-uploading ,Release 1.0,,,Fixed
937,"Add ""Undo"" functionality to the ""Clear all"" button in multiupload.php",Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1177,Security audit 1: 2.14.2: PHP object injection,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
150,Return Path for non existant email,Release 1.0,,,Fixed
880,Czech Translation update by Lubos Kopecky,Release 1.5,,,Fixed
936,Isolate Flash code (for single file uploads) to upload.php,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1176,Security audit 1: 2.11.8: Anti-clickjacking measures must be implemented,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,In Progress
904,Investigate impact of incorporating logout.php and invalidvoucher.php into index.php,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
1182,Feature: maintenance mode,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Fixed
149,Size function to display alternate size MB GB KB,Release 1.0,,,Fixed
884,The fileuid field is filled with the saml_uid_attribute for authenticated uploads,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
895,Single quote in Non HTML5 upload ,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
935,Ensure ZIP files work with most common clients,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1175,Security audit 1: 2.7.7: User input must be encoded before it is used in HTML output,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
148,Replace Send File With Send,Release 1.0,,,Fixed
844,Upload progress calculation for encrypted files,end-to-end file encryption,,,New
934,Use lang() instead of unlocalised strings ,Archived: Release 2.0 prototype,,,In Progress
1174,Security audit 1: 2.7.4 User input must be encoded before it is used in SQL commands,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
147,New File - Rename Button,Release 1.0,,,Fixed
857,Crypto: handling of 'big' files,end-to-end file encryption,,,Test
861,Crypto: issues with downloads with Chrome on OSX,end-to-end file encryption,,,Invalid
867,No error message when HTML5 upload javascript can no longer read file,Release 1.5,,,In Progress
929,Stat command in checkFileSize() ,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1173,Security audit 1: 2.7.3: User input must be encoded before it is used in path/filenames,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
145,Configurable maximum recipients per email ,Release 1.0,,,Fixed
865,Add Serbian language (sr),Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
928,Show error message on download page if no files selected,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1172,Securit audit 1: 2.7.1: User input must be encoded in the context where it is used,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,In Progress
141,Configurable AuP checkbox in Flash UI,Release 1.0,,,Fixed
855,Crypto: Use final filesize of encrypted file for validation/checking,end-to-end file encryption,,,Deferred
864,Filename errors from backend are not reported in the frontend UI,Release 1.5,,,New
1171,Security audit 1: 2.6.13: Generated passwords and tokens must not be predictable,Release 2.0-alpha,,,Fixed
140,Help button in Flash UI,Release 1.0,,,Fixed
716,Revalidate W3C compliance,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,In Progress
854,Crypto: performance,end-to-end file encryption,,,New
863,Frontend and backend check for invalid filename mismatch,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
926,"Improve the ""upload complete"" landing page",Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1141,Crypto: (client) cancel of encrypted uploads is broken,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,In Progress
1142,Crypto: (server) include the encryption flag in the tempfile name hash to distinguish between encrypted and non-encrypted uploads in progress,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,QTest
1143,Crypto: (server) Removal of temporary files (previously canceled uploads) on the server before (re)starting an encrypted upload ,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,QTest
137,splash screen,Release 1.0,,,Fixed
853,Crypto: how to handle resume ?,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Accepted
1168,Feature: email daily summary to sender of transaction,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Test
1316,Document known issue / FAQ regarding upload of compound file formats on Mac,Release 2.0: Documentation,,,New
106,Add indicator 'uploaded using voucher' in admin overview screens,Release 1.0,,,Fixed
1167,A chunk was sent after transfer complete resulting in an error,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1315,Document $config['stalling_detection'] ,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
104,Pause and resume,Release 1.0,,,Invalid
851,Crypto: download flow for encrypted files,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1125,classes for uploading/downloading files,Release 2.0 prototype class refactoring,romanmalyshev,avZvqm96Gr47ZdacwqEsg8,In Progress
1166,Consider drag & drop enable whole screen,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1284,Announce 2.0-alpha1 release on blog and mailinglist,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
93,filename in email,Release 1.0,,,Fixed
850,Crypto: replace alert() and prompt() with jQuery(?) dialogs,end-to-end file encryption,,,Fixed
921,Change zip file name to <sitename>-<trackingcode>.zip,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1162,Tidy linux source documentation for 2.0-alpha,Release 2.0: Documentation,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Accepted
1165,FireFox upload hangs with 30 workers,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
792,Remove the 1-2-3-4 step on-page help,Archived,,,Fixed
836,AuP text box is wider than other text boxes on upload form,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
849,Crypto: localise password prompt,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
892,CSS Configurable ,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
920,GroupID on uploads,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1118,Refactore the AuthSAML class to be more efficient,Release 2.0 prototype class refactoring,romanmalyshev,avZvqm96Gr47ZdacwqEsg8,Fixed
1204,Documentation 2.0: how to configure 2.0 email settings so you will not have any SPF troubles,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
791,Clear indication of mandatory fields ,Archived,,,Fixed
835,Help button id/title different between auth and non auth,Release 1.5,,,Invalid
848,Crypto: only prompt for password when encryption is requested,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
919,Inform user about zipped file downloads,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1105,Incorporate recommendations from code security audit,Release 2.0 prototype class refactoring,romanmalyshev,avZvqm96Gr47ZdacwqEsg8,Won't fix
1294,Create poeditor.com account with role email address,Release 2.0: Language file crowdsourcing,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,In Progress
1306,Document config directive for disclosure,Release 2.0: Documentation,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
901,TeraSender uploads broken with 'older' browsers,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
87,progress bar says 'loading' which imho should be 'uploading',Release 1.0,,,Fixed
790,Change order of fields,Archived,,,Fixed
834,default.css is not reread by browser after upgrading,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
847,Make disabling filesize check on back-end conditional on encryption,end-to-end file encryption,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Test
1100,Refactor config.php class,Release 2.0 prototype class refactoring,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1161,Bug: footer only shown on logon and upload page,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Fixed
1283,Add executed 2.0 security reviews to reviews and prototype list + to 2.0 alpha download page,Release 2.0: Documentation,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1292,Automation for handling of new language tags,Release 2.0: Language file crowdsourcing,,,New
986,Consistency check auto-complete availability voucher user vs. authenticated user,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Known issue
789,"Create a ""list box"" functionality where you can deselect files as well before clicking send ",Archived,,,Fixed
831,Modify all fixed widths to auto fit banner width,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
846,Crypto downloads with FireFox ,end-to-end file encryption,,,Fixed
888,PDO rowCount Query Fixes,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1099,Define unit testing process for the upcoming 2.0 code,Release 2.0 prototype class refactoring,romanmalyshev,avZvqm96Gr47ZdacwqEsg8,In Progress
