number,summary,milestone,assigned_to_name,assigned_to_id,status
881,Security: admin page skeleton accesible (without data),Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
862,Guest vouchers are still inserted even if validation errors occurred,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
923,Human readable tracking codes for file uploads,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
90,[feature] configurable attribute names,Release 1.0,,,Fixed
89,database creation script improvement suggestion for version 0.1.3,Release 1.0,,,Fixed
918,Updated myFiles to cater for multiple uploads,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
76,create standard documentation in source code package,Release 1.0,,,Fixed
916,Pause / Resume on (Multi)file Uploads,Archived: Release 2.0 prototype,,,In Progress
858,Make partial download (Content-Range) possible,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
1129,Feature request: enable extending expiry date,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,In Progress
184,Multiple email address from federation,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
911,Options for email flow on file upload,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1083,Make a decision on use of profiles,Planned features,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
852,Crypto uploads sometimes get stuck/hang,end-to-end file encryption,,,Invalid
655,Check prepared statements for using $variables instead of function results,Release 1.5,,,Fixed
717,Convert classes/Log.php to use prepared statements,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
587,cron.php when logging (logEntry) creates logfiles owned by root,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
641,PHP session management and multiple tabs/windows per browser,Release 1.5,,,Deferred
698,No resend bcc email when file upload using voucher sent to voucher recipient,Release 1.5,,,Fixed
516,Documentation: update admin reference manual for 1.5,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
515,"Documentation: source, debian and rpm install manual for 1.5",Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
623,Handling single quotes in (new) language files,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Deferred
7,end-to-end File Encryption [XL],Planned features,Gijs Molenaar,b8-41KDuKr344jeJe5cbLA,Fixed
47,multiple file upload [XL],Planned features,,,Fixed
96,flash upload over https fails with FireFox,Release 1.0,,,Fixed
101,give user error message when email doesn't get sent after succesful upload,Release 1.0,,,Fixed
107,"incorrect warning (""browse for a file"") on invalid recipient email input",Release 1.0,,,Fixed
177,unexpected voucher behaviour when voucher user is already logged in,Release 1.0,,,Fixed
185,"uploading file using voucher: ""cannot move file""",Release 1.0,,,Fixed
186,filenames with double singlequotes fail,Release 1.0,,,Fixed
253,Outdated files in database that misses from disk halts system while removing outdated files,Release 1.0,,,Fixed
298,Download fails after changeset 231?,Release 1.0,,,Fixed
299,email not sent after download (in svn 240),Release 1.0,,,Fixed
405,upload of filenames with 'special' characters broken in 1.5,Release 1.5,,,Fixed
434,"File download recognises user if authenticated, not as Guest",Release 1.5,,,Fixed
436,Expiry date bypassed and invalid when issuing voucher,Release 1.5,,,Fixed
438,AuP can be bypassed,Release 1.5,,,Fixed
454,Flash/non-HTML5 upload broken,Release 1.5,,,Fixed
463,Voucher upload listing in My Files logic,Release 1.5,,,Fixed
491,Hanging Flash uploads of large (free memory dependent) files on Mac,Release 1.5,,,Known issue
503,Make language definitions customizable,Release 1.5,,,Fixed
517,Security: input/output quoting/encoding and validation,Release 1.5,,,Fixed
518,Help and About text are hard-coded in index.php.  Needs to be customisable,Release 1.5,,,Fixed
524,Add check for succesfull move of temporary file to filestore,Release 1.5,,,Fixed
532,Language selection via config,Release 1.5,,,Fixed
541,Sample locale config file,Release 1.5,,,Fixed
547,Admin interface broken since stripslashes in dbal.php,Release 1.5,,,Fixed
576,Server side validation of voucher creation,Release 1.5,,,Fixed
635,Enable theming [L],Planned features,,,Fixed
696,'Pending' database record contains all recipients in 'fileto' which breaks when the number of characters exceeds 250,Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
722,Authenticated upload after failed attempt using voucher in another tab cancels voucher and displays Guest upload confirmation,Release 1.5,,,Fixed
724,Authenticated Flash upload displays Guest upload confirmation,Release 1.5,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
725,"When issuing voucher no ""Voucher Sent"" message and page does not refresh",Release 1.5,,,Fixed
727,Cancel / pause upload using voucher displays authenticated upload page and then rejects valid email address,Release 1.5,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
734,"""amp;"" part of ""& amp;"" not preserved in subject of email with IE9 on Windows7",Release 1.5,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Invalid
748,One jar of blåbærsyltetøy ,Release 1.5,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Invalid
1320,Log a warning when observed protocol is more secure than site_url,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1318,auth_remote_signature_algorithm is not used,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1314,Fix average upload speed counter to work properly after upload resume,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1312,Apply consistent updated BSD license to all files in 2.0 source tree,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
1308,Using `createtransfer.php` must check that it runs from the correct user.,Release 2.0-alpha,,,New
1304,"Usability: When trying to click send, user is never warned the email is missing",Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1303,"Guest Voucher manual deletion interrupted if ""invalid or missing email"" warning triggered",Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Accepted
1274,Terasender fails on small files,Release 2.0-alpha,,,New
1281,Error message required when HTML5/Terasender upload javascript can no longer read file,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1301,Thorough analysis + documentation of TeraSender upload module in 2.0,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,New
878,add option to MyFiles: show which IP address downloaded a file,Release 2.0-alpha,,,Fixed
784,Make sure invitation voucher upload must *also* always be sent to invitation voucher creator ,Release 2.0-alpha,,,Fixed
142,limit file upload recipient to voucher creator [M],Release 2.0-alpha,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Fixed
873,show remaining dates from previous month in date picker,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1297,«Stop»-button has unclear behaviour,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1047,Zipped file names cannot handle special characters ,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Invalid
1087,Quote escape syntax error in multiupload.php,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1085,Check Config Validation is up to date.,Archived: Release 2.0 prototype,,,In Progress
1086,Remove 'close' button on upload dialogue,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,New
1084,Language Error in French - apostrophe,Archived: Release 2.0 prototype,,,Test
1072,Security audit: Check lib/swf/playerProductInstall.swf for new version,Archived: Release 2.0 prototype,,,Test
1070,Optional subject not used in upload confirmation to sender ,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,New
1280,Create standard configuration file template with sane defaults,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1069,Consider dropping (friendly name in) user greeting,Archived: Release 2.0 prototype,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1279,implement auto-refresh after click on download from My Transfers table,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1059,Maximum email address warning timing inconsistency,Archived: Release 2.0 prototype,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Test
1052,move Send button,Archived: Release 2.0 prototype,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Won't fix
1277,Bug: problem uploading in private browser mode,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1051,Bug: clear all button doesn't change text after clicking anymore,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1276,Bug from previous release: check 2.11.7 (1.6) A session-bound token must be validated for each POST request,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Test
1050,Move AuP to be on-first-logon rather then on-every-session,Archived: Release 2.0 prototype,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Deferred
1275,Bug from prev. release: Empty/null $config['ban_extension'] prevents sending files with no extension,Release 2.0-alpha,,,Test
1049,Check errors are logged in database as well as log file,Archived: Release 2.0 prototype,,,Test
1273,Possible race condition on integrity check,Release 2.0-alpha,,,New
1046,trigger To: address prettyfier code on enter in To: field,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1269,Bug: Mb should be MB and when using bits/s the units should be correct,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Accepted
1270,Bug: Downloading a ZIP does not include very small files,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1045,2.0: Error message required when HTML5/Terasender upload javascript can no longer read file,Archived: Release 2.0 prototype,,,New
1322,Prevent spurious whitespace in config.php to cause mishaps,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,In Progress
1044,2.0: The customCSS option,Archived: Release 2.0 prototype,,,QTest
1321,Security: insufficient input validation,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,In Progress
1043,in 2.0: Modify session validity check on upload to allow for very long uploads,Archived: Release 2.0 prototype,,,New
1042,fix session id in temporary terasender chunk names,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Invalid
1262,1.6.1 bugfix release,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1267,Reconsider default limit on #files per transfer,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,New
1027,Display avg upload speed in Mbit/s rather than MB/s,Archived: Release 2.0 prototype,,,Test
1256,Browse button issue for automated testing with Flash,Release 1.6,,,Known issue
1261,Basic upload resume,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1266,Bug: Time zone not honoured in audit log,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Accepted
1255,# Appearing in Browser Tabs and Browser Title,Release 1.6,Wendy Mason,aNSALiyQSr3482eJe5cbCb,Known issue
1025,Security code for downloads,Archived: Release 2.0 prototype,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Deferred
1254,Modify all fixed widths to auto fit banner width,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
1260,"Bug: size units in upload form: Mb, Gb vs. MB GB",Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1024,Script to send a stats summary by email to site admin,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,In Progress
1244,"Download email generated even if user clicks on ""Cancel"" rather than ""Save File""",Release 1.6,,,Known issue
909,Maximum Webworkers - Set Limit,Archived: Release 2.0 prototype,,,Deferred
1240,Security: unescaped use of PHP_SELF variable in admin.php,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1253,Logon possible with JavaScript disabled,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
786,"Implement something to allow users to select ""extra options""",Release 2.0-alpha,,,Fixed
1021,"Merge ""More settings"" and ""Advanced Settings""",Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1218,Update HEAnet logo,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
866,Database Upgrade Code,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,In Progress
1020,"Make ""add recipient"" dialog multi-file aware",Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1217,Safari 9.0 stuck at 0% during upload,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1019,MySQL Error Integrity constraint violation,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1018,New Icons for 2.0,Archived: Release 2.0 prototype,,,Test
1137,Empty/null $config['ban_extension'] prevents sending files with no extension,Release 1.6,,,Known issue
1247,Filename with international characters other than ISO-8859-1 will look 'funny' when downloaded with IE,Release 2.0-alpha,,,Fixed
1017,Character encoding in emails,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1136,Add Swedish language,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Known issue
1246,"Download email generated even if user clicks on ""Cancel"" rather than ""Save File""",Release 2.0-alpha,,,New
1016,Reduce button size on single download pages,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1241,Handling decomposed unicode in filenames,Release 2.0-alpha,,,Test
1242,Bug: transfer delete by Admin user does not work,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Accepted
1015,Reduce number of DB queries made on page load in files.php,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1014,"Add ""number of downloads"" column to files table",Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1163,Update the sample config file,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Accepted
1013,Functions return Bool or value - should return bool,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
337,"[cleanup] Pointers to ""history/history.css""",Release 1.0,,,Fixed
1012,ErrorAuth on Upload when Auth is lost,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1101,Put check_language_tags.sh script in filesender/scripts directory,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1102,Update Home page to correct Documentation tree on release of 1.6,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
336,"Populate ""Help"" page",Release 1.0,,,Fixed
1011,"""Send files"" top menu item not always highlighted",Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1090,UI display issues,Release 1.6,,,Deferred
1237,Document status and process of PHP unit testing in 2.0,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
335,"Populate ""About"" page",Release 1.0,,,Fixed
1010,Guest Voucher - extra altcolor in second cell between active vouchers,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1236,Bug: automatically closed guest voucher triggers manually closed email,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Test
303,Check write permissions on file storage folders,Release 1.0,,,Fixed
1009,Expiry date errorglow,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
296,MyFiles: In the “From” column:  replace the e­mail address of the user with the text   “You” ,Release 1.0,,,Fixed
1008,My Files - Delete all recipients removes Transaction,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1088,Update README.txt and INSTALL.txt in distribution tree,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1234,Revalidate W3C compliance,Release 2.0-alpha,,,New
295,Review display of time/date,Release 1.0,,,Fixed
1007,Voucher Message,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1081,2.11.8 (1.6) X-Frame-Options,Release 1.6,,,Known issue
1233,Adding several adresses in one go doesn't go as expected,Release 2.0-alpha,Jørn Åne,c9JOC0LeOr5BTmacwqEsg8,Fixed
294,In MyFiles: remove Message column and make it a tool-tip,Release 1.0,,,Fixed
1006,Column not found - fileenabledownloadreceipts,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1080,2.11.7 (1.6) A session-bound token must be validated for each POST request,Release 1.6,,,Deferred
293,Make local (banner) files  upgrade-proof ,Release 1.0,,,Fixed
1005,Unicode characters in file names inside ZIP archives,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Fixed
1079,2.7.7 1.6 HTML output,Release 1.6,,,Deferred
1231,Race condition during upload,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Test
284,Logging for browser download.,Release 1.0,,,Fixed
1004,Flash JavaSCript library included in non flash upload,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Fixed
1078,Flash detection code,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Fixed
1229,Bug: new upload speed counter continues to count after upload,Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Test
1230,"Bug: when ""add_me_to_recipients"" always on, Send button not available",Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,Test
1003,js error: fileBoxSize,Archived: Release 2.0 prototype,Vegard Polden,aTWq58rMCr4ysmacwqjQXA,Test
1228,Bug: when using non-existing email address an impossible error popup pops in existence,Release 2.0-alpha,etiennemeleard,dgRDGuZ4ar478MacwqEsg8,New
1002,Add index to logvoucheruid,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1001,Moving scroll bar on file uploads,Archived: Release 2.0 prototype,Jack Kittridge,bIiF-SXuOr4ydAacwqjQWU,Test
1075,Improve Flex error notifications to client,Release 1.6,,,Known issue
1227,"Bug: when pressing ""clear"" in file list, counters do not get cleared",Release 2.0-alpha,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1067,download(s).filesender.org doesn't update repo,Release 1.6,Jan Meijer,dPS9kyuyur3zYrab7jnrAJ,Fixed
1000,Duplicated files on results page for single uploads,Archived: Release 2.0 prototype,,,Test
1074,Javascript errors when using IE ,Release 1.6,Xander Jansen,bkpnJ4jEWr37jceJe5afGb,Deferred
